ligand,receptor
COL8A2,ITGA2_ITGB1
COL9A1,ITGA1_ITGB1
COL9A1,ITGA10_ITGB1
COL9A1,ITGA11_ITGB1
COL9A1,ITGA2_ITGB1
COL9A2,ITGA1_ITGB1
COL9A2,ITGA10_ITGB1
COL9A2,ITGA11_ITGB1
COL9A2,ITGA2_ITGB1
COL9A3,ITGA1_ITGB1
COL9A3,ITGA10_ITGB1
COL9A3,ITGA11_ITGB1
COL9A3,ITGA2_ITGB1
DSC1,DSG2
DSC2,DSG2
DSG1,DSC1
DSG1,DSC2
DSG1,DSC3
DSG2,DSC3
DAG1,CELSR3
FGA_FGB_FGG,ITGA2B_ITGB3
FGA_FGB_FGG,ITGAM_ITGB2
FGA_FGB_FGG,ITGAX_ITGB2
FN1,ITGA10_ITGB1
FN1,ITGA11_ITGB1
FN1,ITGA2_ITGB1
FN1,ITGA2B_ITGB3
FN1,ITGA3_ITGB1
FN1,ITGA4_ITGB1
FN1,ITGA4_ITGB7
FN1,ITGA5_ITGB1
FN1,ITGA8_ITGB1
FN1,ITGAV_ITGB1
FN1,ITGAV_ITGB3
FN1,ITGAV_ITGB5
GJA1,GJA1
GJA1,GJA5
GJA3,GJA1
GJA3,GJA3
GJA3,GJA5
GJA3,GJC1
GJA5,GJA5
GJC1,GJA1
GJC1,GJA5
GJC1,GJC1
ICAM1,ITGAL
ICAM1,ITGAL_ITGB2
ICAM1,ITGAM_ITGB2
ICAM1,ITGAX_ITGB2
ICAM1,SPN
ICAM2,CD209
ICAM2,ITGAL_ITGB2
ICAM3,CD209
ICAM3,CLEC4M
ICAM3,ITGAD_ITGB2
ICAM3,ITGAL_ITGB2
ICAM4,ITGAL_ITGB2
JAM2,ITGA4_ITGB1
JAM2,JAM3
JAM3,ITGAM_ITGB2
JAM3,JAM3
L1CAM,EZR_L1CAM
L1CAM,ITGA2B_ITGB3
L1CAM,ITGA5_ITGB1
L1CAM,ITGA9_ITGB1
L1CAM,ITGAV_ITGB1
L1CAM,ITGAV_ITGB3
L1CAM,L1CAM
LAMA3,ITGA3_ITGB1
LAMC1,ITGA2_ITGB1
LAMC1,ITGA6_ITGB1
LAMC1,ITGA7_ITGB1
LAMC1,ITGAV_ITGB3
NECTIN1,CADM3
NECTIN1,NECTIN3
NECTIN1,NECTIN4
NECTIN2,NECTIN3
SPP1,ITGA4_ITGB1
SPP1,ITGA9_ITGB1
SPP1,ITGAV_ITGB3
F10,ITGAM_ITGB2
F11R,ITGAL_ITGB2
F2,F2R
F2,F2RL2
F2,F2RL3
F2,GP1BA_GP1BB
F2,ITGA2B_ITGB3
F2,ITGAV_ITGB3
F2,THBD
TNC,ITGA4_ITGB1
TNC,ITGA8_ITGB1
TNC,ITGA9_ITGB1
TNC,ITGAV_ITGB3
TNC,ITGAV_ITGB6
THBS1,ITGA2B_ITGB3
THBS1,ITGA3_ITGB1
THBS1,ITGAV_ITGB3
VCAM1,ITGA4_ITGB1
VCAM1,ITGA4_ITGB7
VCAM1,ITGA9_ITGB1
VCAM1,ITGAD_ITGB2
VTN,ITGA2B_ITGB3
VTN,ITGAV_ITGB1
VTN,ITGAV_ITGB3
PLA2G2A,ITGA4_ITGB1
PLA2G2A,ITGA5_ITGB1
CHAT,CHRM1
CHAT,CHRM2
CHAT,CHRM3
CHAT,CHRM4
CHAT,CHRM5
CHAT,CHRNA1
CHAT,CHRNA2_CHRNB3
CHAT,CHRNA3_CHRNA5_CHRNB2
CHAT,CHRNA3_CHRNA5_CHRNB4
CHAT,CHRNA4_CHRNA6_CHRNB3
CHAT,CHRNA4_CHRNB2
CHAT,CHRNA6_CHRNB3_CHRNB4
CHAT,CHRNA7
NT5E_SLC29A1,ADORA1
NT5E_SLC29A1,ADORA2A
NT5E_SLC29A1,ADORA2B
NT5E_SLC29A1,ADORA3
NT5E_SLC29A2,ADORA1
NT5E_SLC29A2,ADORA2A
NT5E_SLC29A2,ADORA2B
NT5E_SLC29A2,ADORA3
NT5E_SLC29A3,ADORA1
NT5E_SLC29A3,ADORA2A
NT5E_SLC29A3,ADORA2B
NT5E_SLC29A3,ADORA3
NT5E_SLC29A4,ADORA1
NT5E_SLC29A4,ADORA2A
NT5E_SLC29A4,ADORA2B
NT5E_SLC29A4,ADORA3
PNMT_SLC18A1,ADRA1A
PNMT_SLC18A1,ADRA1B
PNMT_SLC18A1,ADRA1D
PNMT_SLC18A1,ADRA2A
PNMT_SLC18A1,ADRA2B
PNMT_SLC18A1,ADRA2C
PNMT_SLC18A1,ADRB1
PNMT_SLC18A1,ADRB2
PNMT_SLC18A1,ADRB3
PNMT_SLC18A2,ADRA1A
PNMT_SLC18A2,ADRA1B
PNMT_SLC18A2,ADRA1D
PNMT_SLC18A2,ADRA2A
PNMT_SLC18A2,ADRA2B
PNMT_SLC18A2,ADRA2C
PNMT_SLC18A2,ADRB1
PNMT_SLC18A2,ADRB2
PNMT_SLC18A2,ADRB3
ADM,CALCRL_GPER1_RAMP3
ADM,RAMP3
ADM2,CALCRL_GPER1_RAMP3
ADM2,CALCRL_RAMP2
AGRP,MC2R
AGRP,MC3R
AGRP,MC4R
AGRP,MC5R
ASIP,MC1R
AGRN,LRP4_MUSK
AGRN,PTPRS
IAPP,CALCR
IAPP,CALCR_RAMP1
IAPP,CALCR_RAMP2
IAPP,CALCR_RAMP3
APP,CD74
APP,FPR2
APP,PLXNA4
APP,SORL1
APP,TNFRSF21
APP,TREM2_TYROBP
APLP2,PIGR
APLP2,PLXNA4
CYP11B2,NR3C1
CYP11B2,NR3C2
SRD5A1,AR
SRD5A2,AR
SRD5A3,AR
CYP17A1,AR
HSD17B6,NR1H4
CYP27B1,VDR
CYP11B1,NR3C1
CYP11B1,NR3C2
CYP21A2,NR3C2
CYP19A1,ESR1
CYP19A1,ESR2
CYP19A1,GPER1
CYP19A1,NR1I2
CYP11A1,NR1H4
CYP3A4,NR1H4
CYP11A1_FDX1_FDX2_FDXR,NR1I2
HSD17B12,AR
HSD17B3,AR
ANGPT1,TEK
ANGPT2,TEK
ANGPT4,TEK
AGT,AGTR1
AGT,AGTR2
ANXA1,FPR1
ANXA1,FPR2
ANXA1,FPR3
APELA,APLNR
APLN,APLNR
APOA1,ABCA1
APOA1,AMN_CUBN
APOA1,TREM2_TYROBP
APOA2,TREM2_TYROBP
APOB,APOBR
APOB,TREM2_TYROBP
APOE,TREM2_TYROBP
DAGLA,CNR1
DAGLA,CNR2
DAGLA,GPR55
DAGLB,CNR1
DAGLB,CNR2
DAGLB,GPR55
NGF,NGFR
NGF,NTRK1
NGF,SORT1
BMP10,ACVR2A_ACVRL1
BMP10,ACVRL1_BMPR2
BMP15,BMPR1B_BMPR2
BMP15_GDF2,ACVR1B_BMPR1B_BMPR2
BMP2,ACVR2A_BMPR1A
BMP2,ACVR2A_BMPR1B
BMP2,ACVR2B_BMPR1A
BMP2,ACVR2B_BMPR1B
BMP2,BMPR1A_BMPR2
BMP2,BMPR1B_BMPR2
BMP4,ACVR2A_BMPR1A
BMP4,ACVR2A_BMPR1B
BMP4,ACVR2B_BMPR1A
BMP4,ACVR2B_BMPR1B
BMP4,BMPR1A_BMPR2
BMP4,BMPR1B_BMPR2
BMP5,ACVR1_ACVR2A
BMP5,ACVR1_ACVR2B
BMP5,ACVR1_BMPR2
BMP5,ACVR2A_BMPR1A
BMP5,ACVR2A_BMPR1B
BMP5,ACVR2B_BMPR1A
BMP5,ACVR2B_BMPR1B
BMP5,BMPR1A_BMPR2
BMP5,BMPR1B_BMPR2
BMP6,ACVR1_ACVR2A
BMP6,ACVR1_ACVR2B
BMP6,ACVR1_BMPR2
BMP6,ACVR2A_BMPR1A
BMP6,ACVR2A_BMPR1B
BMP6,ACVR2B_BMPR1A
BMP6,ACVR2B_BMPR1B
BMP6,BMPR1A_BMPR2
BMP6,BMPR1B_BMPR2
BMP7,ACVR1_ACVR2A
BMP7,ACVR1_ACVR2B
BMP7,ACVR1_BMPR2
BMP7,ACVR2A_BMPR1A
BMP7,ACVR2A_BMPR1B
BMP7,ACVR2B_BMPR1A
BMP7,ACVR2B_BMPR1B
BMP7,BMPR1A_BMPR2
BMP7,BMPR1B_BMPR2
BMP8A,ACVR1_ACVR2A
BMP8A,ACVR1_ACVR2B
BMP8A,ACVR1_BMPR2
BMP8A,ACVR2A_BMPR1A
BMP8A,ACVR2A_BMPR1B
BMP8A,ACVR2B_BMPR1A
BMP8A,ACVR2B_BMPR1B
BMP8A,BMPR1A_BMPR2
BMP8A,BMPR1B_BMPR2
BMPR1B_BMPR2,BMPR1A
BDNF,NGFR
BDNF,NTRK2
BDNF,SORT1
CALCA,CALCR
CALCA,CALCRL_RAMP1
CALCB,CALCR
CALCB,CALCRL_RAMP1
CLSTN1,NRXN1
CLSTN1,NRXN2
CLSTN1,NRXN3
CLSTN2,NRXN1
CLSTN2,NRXN2
CLSTN2,NRXN3
CLSTN3,NRXN1
CLSTN3,NRXN2
CLSTN3,NRXN3
CTSG,F2RL3
CTSG,FPR1
CCL1,CCR8
CCL11,ACKR2
CCL11,CCR3
CCL11,DPP4
CCL13,ACKR2
CCL13,CCR2
CCL13,CCR3
CCL14,ACKR2
CCL14,CCR1
CCL14,CCR3
CCL15,CCR1
CCL15,CCR3
CCL16,CCR1
CCL16,CCR2
CCL16,CCR8
CCL16,HRH4
CCL17,CCR4
CCL18,CCR8
CCL19,ACKR4
CCL19,CCR7
CCL19,CCRL2
CCL2,ACKR1
CCL2,ACKR2
CCL2,CCR2
CCL20,CCR6
CCL21,ACKR4
CCL21,CCR7
CCL22,CCR4
CCL22,DPP4
CCL23,CCR1
CCL23,FPR2
CCL24,CCR3
CCL25,ACKR4
CCL25,CCR9
CCL26,CCR1
CCL26,CCR2
CCL26,CCR3
CCL27,CCR10
CCL28,CCR10
CCL3,ACKR2
CCL3,CCR1
CCL3,CCR3
CCL3,CCR5
CCL3L1,CCR1
CCL3L1,CCR3
CCL4,ACKR2
CCL4,CCR5
CCL5,ACKR1
CCL5,ACKR2
CCL5,CCR1
CCL5,CCR3
CCL5,CCR4
CCL5,CCR5
CCL5,GPR75
CCL7,ACKR2
CCL7,CCR1
CCL7,CCR2
CCL7,CCR3
CCL7,CCR5
CCL8,ACKR2
CCL8,CCR1
CCL8,CCR2
CCL8,CCR3
CCL8,CCR5
PPBP,CXCR1
PPBP,CXCR2
CX3CL1,CX3CR1
CXCL1,ACKR1
CXCL1,CXCR1
CXCL1,CXCR2
CXCL10,CXCR3
CXCL10,DPP4
CXCL11,ACKR3
CXCL11,CXCR3
CXCL11,DPP4
CXCL12,CXCR4
CXCL12,DPP4
CXCL13,ACKR4
CXCL13,CXCR5
CXCL14,CXCR4
CXCL16,CXCR6
CXCL2,CXCR2
CXCL2,DPP4
CXCL3,CXCR2
CXCL5,CXCR1
CXCL5,CXCR2
CXCL6,CXCR1
CXCL6,CXCR2
CXCL8,ACKR1
CXCL8,CXCR1
CXCL8,CXCR2
CXCL9,CXCR3
CXCL9,DPP4
CCK,CCKAR
CCK,CCKBR
CEL,RORA
CEL,RORC
LIPA,RORA
LIPA,RORC
DHCR24,RORA
DHCR24,RORC
DHCR7,NR1H2
DHCR7,NR1H3
DHCR7,RORA
DHCR7,RORC
CHAT_SLC10A4,CHRM1
CHAT_SLC10A4,CHRM2
CHAT_SLC10A4,CHRM3
CHAT_SLC10A4,CHRM4
CHAT_SLC10A4,CHRM5
CHAT_SLC10A4,CHRNA1_CHRNB1_CHRND_CHRNE
CHAT_SLC10A4,CHRNA1_CHRNB1_CHRND_CHRNG
CHAT_SLC10A4,CHRNA3_CHRNB4
CHAT_SLC10A4,CHRNA4_CHRNB2
CHAT_SLC10A4,CHRNA7
CHAT_SLC18A3,CHRM1
CHAT_SLC18A3,CHRM2
CHAT_SLC18A3,CHRM3
CHAT_SLC18A3,CHRM4
CHAT_SLC18A3,CHRM5
CHAT_SLC18A3,CHRNA1_CHRNB1_CHRND_CHRNE
CHAT_SLC18A3,CHRNA1_CHRNB1_CHRND_CHRNG
CHAT_SLC18A3,CHRNA3_CHRNB4
CHAT_SLC18A3,CHRNA4_CHRNB2
CHAT_SLC18A3,CHRNA7
CHAT_SLC5A7,CHRM1
CHAT_SLC5A7,CHRM2
CHAT_SLC5A7,CHRM3
CHAT_SLC5A7,CHRM4
CHAT_SLC5A7,CHRM5
CHAT_SLC5A7,CHRNA1_CHRNB1_CHRND_CHRNE
CHAT_SLC5A7,CHRNA1_CHRNB1_CHRND_CHRNG
CHAT_SLC5A7,CHRNA3_CHRNB4
CHAT_SLC5A7,CHRNA4_CHRNB2
CHAT_SLC5A7,CHRNA7
CGA_CGB1,LHCGR
CGA_CGB2,LHCGR
CGA_CGB3,LHCGR
CGA_CGB7,LHCGR
CGA_FSHB,FSHR
CGA_LHB,LHCGR
CGA_TSHB,TSHR
C10orf99,GPR15
C10orf99,SUSD2
C1QL1,ADGRB3
C1QL2,ADGRB3
C1QL3,ADGRB3
C1QL4,ADGRB3
C3,C3AR1
C3,C5AR2
C3,ITGAM_ITGB2
C4A,C5AR2
C5,C5AR1
C5,C5AR2
CRH,CRHR1
CRH,CRHR2
CSF1,CSF1R
CSF2,CSF2RA_CSF2RB
CSF3,CSF3R
SULT1A1,PPARA
SULT1A1,PPARD
SULT1A1,PPARG
SULT1E1,PPARA
SULT1E1,PPARD
SULT1E1,PPARG
SULT2A1,PPARA
SULT2A1,PPARD
SULT2A1,PPARG
UBASH3B,ESR1
UBASH3B,NR1I2
UBASH3B,PPARA
DHH,BOC_PTCH1
DHH,CDON_PTCH1
DHH,GAS1_PTCH1
DHH,HHIP
DHRS9,PGR
TYR,GPR143
EDN1,EDNRA
EDN1,EDNRB
EDN2,EDNRA
EDN2,EDNRB
EDN3,EDNRA
EDN3,EDNRB
ENTPD1,ADORA1
ENTPD1,ADORA2A
ENTPD1,ADORA2B
ENTPD1,ADORA3
EFNA1,EPHA1
EFNA1,EPHA2
EFNA1,EPHA3
EFNA1,EPHA4
EFNA1,EPHA5
EFNA1,EPHA7
EFNA1,EPHA8
EFNA2,EPHA1
EFNA2,EPHA2
EFNA2,EPHA3
EFNA2,EPHA4
EFNA2,EPHA5
EFNA2,EPHA7
EFNA2,EPHA8
EFNA3,EPHA1
EFNA3,EPHA2
EFNA3,EPHA3
EFNA3,EPHA4
EFNA3,EPHA5
EFNA3,EPHA7
EFNA3,EPHA8
EFNA4,EPHA1
EFNA4,EPHA2
EFNA4,EPHA3
EFNA4,EPHA4
EFNA4,EPHA5
EFNA4,EPHA7
EFNA4,EPHA8
EFNA5,EPHA1
EFNA5,EPHA2
EFNA5,EPHA3
EFNA5,EPHA4
EFNA5,EPHA5
EFNA5,EPHA7
EFNA5,EPHA8
EFNA5,EPHB2
EFNB1,EPHA2
EFNB1,EPHA4
EFNB1,EPHB1
EFNB1,EPHB2
EFNB1,EPHB3
EFNB1,EPHB4
EFNB1,EPHB6
EFNB2,EPHA4
EFNB2,EPHB1
EFNB2,EPHB2
EFNB2,EPHB3
EFNB2,EPHB4
EFNB2,EPHB6
EFNB3,EPHA4
EFNB3,EPHB1
EFNB3,EPHB2
EFNB3,EPHB3
EFNB3,EPHB4
EFNB3,EPHB6
AREG,EGFR
BTC,EGFR
EGF,EGFR
EPGN,EGFR
EREG,EGFR
EREG,ERBB4
HBEGF,EGFR
HBEGF,ERBB2
HBEGF,ERBB4
PNMT,ADRA1A
PNMT,ADRA1B
PNMT,ADRA1D
PNMT,ADRA2A
PNMT,ADRA2B
PNMT,ADRA2C
PNMT,ADRB1
PNMT,ADRB2
PNMT,ADRB3
HSD17B1,ESR1
HSD17B1,ESR2
HSD17B1,GPER1
HSD17B1,NR1I2
FCER2,CR2
FCER2,FGFR2
FCER2,ITGAM_ITGB2
FCER2,ITGAV_ITGB3
FCER2,ITGAX_ITGB2
FGF1,FGFR1
FGF1,FGFR2
FGF1,FGFR3
FGF1,FGFR4
FGF1,ITGAV_ITGB3
FGF10,FGFR2
FGF17,FGFR3
FGF19,FGFR4_KLB
FGF2,FGFR1
FGF2,FGFR2
FGF2,FGFR3
FGF2,FGFR4
FGF2,ITGAV_ITGB3
FGF20,FGFR3
FGF21,FGFR4_KLB
FGF22,FGFR2
FGF23,FGFR1_KL
FGF3,FGFR2
FGF4,FGFR1
FGF5,FGFR1
FGF6,FGFR1
FGF7,FGFR2
FGF8,FGFR3
FGF9,FGFR3
FGL1,LAG3
NCAM1,FGFR1
FLRT1,ADGRL1
FLRT1,ADGRL3
FLRT1_TENM2,ADGRL1
FLRT1_TENM3,ADGRL3
FLRT1_TENM4,ADGRL1
FLRT2,ADGRL1
FLRT2,ADGRL3
FLRT3,ADGRL2
FLRT3,ADGRL3
FLRT3_TENM2,ADGRL1
FLRT3_TENM2,ADGRL2
FLRT3_TENM3,ADGRL3
FLRT3_TENM4,ADGRL1
GAD1_SLC32A1,GABBR1
GAD1_SLC32A1,GABBR2
GAD1_SLC32A1,GABRA1_GABRB2
GAD1_SLC32A1,GABRA1_GABRB2_GABRD
GAD1_SLC32A1,GABRA1_GABRB2_GABRG2
GAD1_SLC32A1,GABRA1_GABRB3
GAD1_SLC32A1,GABRA1_GABRB3_GABRG2
GAD1_SLC32A1,GABRA2_GABRB3_GABRG2
GAD1_SLC32A1,GABRA3_GABRB3_GABRE
GAD1_SLC32A1,GABRA3_GABRB3_GABRG2
GAD1_SLC32A1,GABRA3_GABRB3_GABRQ
GAD1_SLC32A1,GABRA4_GABRB2_GABRD
GAD1_SLC32A1,GABRA4_GABRB3_GABRD
GAD1_SLC32A1,GABRA4_GABRB3_GABRG2
GAD1_SLC32A1,GABRA5_GABRB3_GABRG2
GAD1_SLC32A1,GABRA6_GABRB3_GABRD
GAD1_SLC32A1,GABRA6_GABRB3_GABRG2
GAD1_SLC6A1,GABBR1
GAD1_SLC6A1,GABBR2
GAD1_SLC6A1,GABRA1_GABRB2
GAD1_SLC6A1,GABRA1_GABRB2_GABRD
GAD1_SLC6A1,GABRA1_GABRB2_GABRG2
GAD1_SLC6A1,GABRA1_GABRB3
GAD1_SLC6A1,GABRA1_GABRB3_GABRG2
GAD1_SLC6A1,GABRA2_GABRB3_GABRG2
GAD1_SLC6A1,GABRA3_GABRB3_GABRE
GAD1_SLC6A1,GABRA3_GABRB3_GABRG2
GAD1_SLC6A1,GABRA3_GABRB3_GABRQ
GAD1_SLC6A1,GABRA4_GABRB2_GABRD
GAD1_SLC6A1,GABRA4_GABRB3_GABRD
GAD1_SLC6A1,GABRA4_GABRB3_GABRG2
GAD1_SLC6A1,GABRA5_GABRB3_GABRG2
GAD1_SLC6A1,GABRA6_GABRB3_GABRD
GAD1_SLC6A1,GABRA6_GABRB3_GABRG2
GAD1_SLC6A11,GABBR1
GAD1_SLC6A11,GABBR2
GAD1_SLC6A11,GABRA1_GABRB2
GAD1_SLC6A11,GABRA1_GABRB2_GABRD
GAD1_SLC6A11,GABRA1_GABRB2_GABRG2
GAD1_SLC6A11,GABRA1_GABRB3
GAD1_SLC6A11,GABRA1_GABRB3_GABRG2
GAD1_SLC6A11,GABRA2_GABRB3_GABRG2
GAD1_SLC6A11,GABRA3_GABRB3_GABRE
GAD1_SLC6A11,GABRA3_GABRB3_GABRG2
GAD1_SLC6A11,GABRA3_GABRB3_GABRQ
GAD1_SLC6A11,GABRA4_GABRB2_GABRD
GAD1_SLC6A11,GABRA4_GABRB3_GABRD
GAD1_SLC6A11,GABRA4_GABRB3_GABRG2
GAD1_SLC6A11,GABRA5_GABRB3_GABRG2
GAD1_SLC6A11,GABRA6_GABRB3_GABRD
GAD1_SLC6A11,GABRA6_GABRB3_GABRG2
GAD1_SLC6A12,GABBR1
GAD1_SLC6A12,GABBR2
GAD1_SLC6A12,GABRA1_GABRB2
GAD1_SLC6A12,GABRA1_GABRB2_GABRD
GAD1_SLC6A12,GABRA1_GABRB2_GABRG2
GAD1_SLC6A12,GABRA1_GABRB3
GAD1_SLC6A12,GABRA1_GABRB3_GABRG2
GAD1_SLC6A12,GABRA2_GABRB3_GABRG2
GAD1_SLC6A12,GABRA3_GABRB3_GABRE
GAD1_SLC6A12,GABRA3_GABRB3_GABRG2
GAD1_SLC6A12,GABRA3_GABRB3_GABRQ
GAD1_SLC6A12,GABRA4_GABRB2_GABRD
GAD1_SLC6A12,GABRA4_GABRB3_GABRD
GAD1_SLC6A12,GABRA4_GABRB3_GABRG2
GAD1_SLC6A12,GABRA5_GABRB3_GABRG2
GAD1_SLC6A12,GABRA6_GABRB3_GABRD
GAD1_SLC6A12,GABRA6_GABRB3_GABRG2
GAD1_SLC6A13,GABBR1
GAD1_SLC6A13,GABBR2
GAD1_SLC6A13,GABRA1_GABRB2
GAD1_SLC6A13,GABRA1_GABRB2_GABRD
GAD1_SLC6A13,GABRA1_GABRB2_GABRG2
GAD1_SLC6A13,GABRA1_GABRB3
GAD1_SLC6A13,GABRA1_GABRB3_GABRG2
GAD1_SLC6A13,GABRA2_GABRB3_GABRG2
GAD1_SLC6A13,GABRA3_GABRB3_GABRE
GAD1_SLC6A13,GABRA3_GABRB3_GABRG2
GAD1_SLC6A13,GABRA3_GABRB3_GABRQ
GAD1_SLC6A13,GABRA4_GABRB2_GABRD
GAD1_SLC6A13,GABRA4_GABRB3_GABRD
GAD1_SLC6A13,GABRA4_GABRB3_GABRG2
GAD1_SLC6A13,GABRA5_GABRB3_GABRG2
GAD1_SLC6A13,GABRA6_GABRB3_GABRD
